ID,Course Code,Course Title,Credit Hours,Faculty,School,Lecture Hours,Tutorial Hours,Lab Hours,Student Type,Elective
1,LRA101,Japanese Culture,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
2,LRA102,Introduction to Philosophy,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
3,LRA103,Fine Arts Appreciation-Drawing and Paintings,2,Faculty of International Business and Humanities,---,2,0,0,UG,FALSE
4,LRA201,Introduction to Economics and Sustainable Development,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
5,LRA202,Peace studies,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
6,LRA301,Environment and Earth Science,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
7,LRA401,Japanese Language (1),1,Faculty of International Business and Humanities,School of Humanities,0,0,2,UG,FALSE
8,LRA402,Japanese Language (2),1,Faculty of International Business and Humanities,School of Humanities,0,0,2,UG,FALSE
9,LRA405,Key Skills Seminar (1),2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
10,LRA406,Key Skills Seminar (2),2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
11,LRA104,Music and Technology,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
12,LRA105,Theater and Drama,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
13,LRA106,Physical Education,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
14,LRA107,Selected topics in Japanese arts,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
15,LRA108,Art and Architecture of Ancient Egypt,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
16,LRA109,Introduction to Cultural Anthropology,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
17,LRA110,Modern Egyptian History,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
18,LRA203,Entrepreneurship and Innovation,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
19,LRA204,Public Policy.,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
20,LRA205,Egyptian Business Regulations,2,Faculty of International Business and Humanities,School of Humanities,2,0,0,UG,FALSE
